"snow","weather","season","physical condition","go skiing"
"sticky","foggy","low","rested","no"
"fresh","sunny","low","injured","no"
"fresh","sunny","low","rested","yes"
"fresh","sunny","high","rested","yes"
"fresh","sunny","mid","rested","yes"
"frosted","windy","high","tired","no"
"sticky","sunny","low","rested","yes"
"frosted","foggy","mid","rested","no"
"fresh","windy","low","rested","yes"
"fresh","windy","low","rested","yes"
"fresh","foggy","low","rested","yes"
"fresh","foggy","low","rested","yes"
"sticky","sunny","mid","rested","yes"
"frosted","foggy","low","injured","no"
